(0,0),	15.2909240571
(0,1),	15.4607274406
(0,10),	15.9978874752
(0,11),	17.0648145098
(0,12),	18.7463223559
(0,13),	20.1768913509
(0,14),	15.033287844
(0,15),	19.7051824161
(0,16),	17.6344727114
(0,17),	15.671957755
(0,18),	23.7263604653
(0,19),	20.1209435154
(0,2),	16.0628915675
(0,20),	16.0526444018
(0,21),	16.3701849865
(0,22),	12.9245422085
(0,23),	18.1839192204
(0,24),	22.2431489159
(0,25),	12.5872351891
(0,26),	18.6367412834
(0,27),	18.5993659184
(0,28),	14.8301758162
(0,29),	23.9903117729
(0,3),	18.5334030047
(0,30),	15.9482944582
(0,31),	14.9067807788
(0,32),	13.603054077
(0,33),	14.1166827849
(0,34),	19.5820540441
(0,35),	23.351080196
(0,36),	17.0500877171
(0,37),	20.6705068254
(0,38),	15.6276086956
(0,39),	16.0208703224
(0,4),	22.1805932532
(0,40),	13.3956633323
(0,41),	14.7621442681
(0,42),	13.8263218968
(0,43),	15.6017434911
(0,44),	12.3676140017
(0,45),	16.990765972
(0,46),	22.9793863367
(0,47),	15.7764704445
(0,48),	15.5338933834
(0,49),	19.6221003779
(0,5),	17.1720532398
(0,6),	19.7957103591
(0,7),	18.8353608968
(0,8),	18.6558993091
(0,9),	21.0018097938
(1,0),	15.8879222122
(1,1),	15.1198041203
(1,10),	13.9389155341
(1,11),	14.9854152539
(1,12),	12.2621667375
(1,13),	18.4683425949
(1,14),	18.1535886183
(1,15),	15.7309322686
(1,16),	20.4086426931
(1,17),	19.2843933565
(1,18),	16.3311551083
(1,19),	17.0415777426
(1,2),	16.5664963323
(1,20),	15.8500622085
(1,21),	12.229314026
(1,22),	14.8871101808
(1,23),	15.7274961247
(1,24),	16.5320881405
(1,25),	18.8318529361
(1,26),	17.3481679857
(1,27),	22.9189619439
(1,28),	18.3992081383
(1,29),	19.905739967
(1,3),	17.7631953697
(1,30),	13.5518051377
(1,31),	16.4179747387
(1,32),	16.6073260378
(1,33),	15.1539728248
(1,34),	12.8543326443
(1,35),	17.8245993202
(1,36),	18.9409637335
(1,37),	17.5342755318
(1,38),	21.6971287005
(1,39),	21.0913281972
(1,4),	18.7057422552
(1,40),	11.9981945006
(1,41),	17.2843118317
(1,42),	12.6645947574
(1,43),	16.8707118985
(1,44),	12.4871598484
(1,45),	17.1358661635
(1,46),	20.8333316589
(1,47),	18.7251715729
(1,48),	15.3893040044
(1,49),	17.3994409084
(1,5),	18.9603514399
(1,6),	20.8299772388
(1,7),	16.0298639331
(1,8),	22.8275458147
(1,9),	16.2439534683
(10,0),	20.642382
(10,1),	24.1436838688
(10,10),	10.1137419093
(10,11),	11.4413104455
(10,12),	11.3883786425
(10,13),	11.6798981444
(10,14),	14.048469171
(10,15),	13.40741141
(10,16),	12.2649018096
(10,17),	12.024885849
(10,18),	15.5089381668
(10,19),	14.0150356518
(10,2),	18.8592456562
(10,20),	10.5492273707
(10,21),	11.0271412495
(10,22),	9.68629200928
(10,23),	11.938051979
(10,24),	14.0820600281
(10,25),	11.6159670313
(10,26),	11.5214688177
(10,27),	14.947749083
(10,28),	13.9751731642
(10,29),	13.802683544
(10,3),	21.9212783856
(10,30),	12.7434986699
(10,31),	11.217399604
(10,32),	10.6450611752
(10,33),	10.6111050914
(10,34),	11.7976046124
(10,35),	9.77329572497
(10,36),	11.0789559986
(10,37),	12.5151585117
(10,38),	11.9960723478
(10,39),	12.6159144815
(10,4),	18.6057371427
(10,40),	15.6502455946
(10,41),	10.9370175564
(10,42),	8.83156241911
(10,43),	13.3125754682
(10,44),	9.41911244931
(10,45),	10.069385867
(10,46),	11.1199654006
(10,47),	15.2499069967
(10,48),	10.5420600484
(10,49),	13.9565354492
(10,5),	18.9305665008
(10,6),	19.3182175291
(10,7),	21.1474148054
(10,8),	20.2643027038
(10,9),	15.0422955593
(11,0),	20.3169325783
(11,1),	19.0701674914
(11,10),	9.16353967178
(11,11),	11.7640237375
(11,12),	9.28686094851
(11,13),	10.1745005554
(11,14),	14.1214450449
(11,15),	15.7513652429
(11,16),	9.53199087009
(11,17),	11.8376121208
(11,18),	13.0076807767
(11,19),	16.7177601852
(11,2),	22.3831331868
(11,20),	12.606725595
(11,21),	10.010139705
(11,22),	11.9696576041
(11,23),	10.7275281618
(11,24),	10.2139981528
(11,25),	11.4104806786
(11,26),	15.7898309188
(11,27),	13.1430741133
(11,28),	12.4658394052
(11,29),	13.4423344217
(11,3),	20.1906737764
(11,30),	13.9717617032
(11,31),	12.8615539906
(11,32),	10.0315511206
(11,33),	10.4903215346
(11,34),	11.7538188383
(11,35),	9.15177260197
(11,36),	12.5717191939
(11,37),	15.1696670515
(11,38),	12.5183303299
(11,39),	10.4754293956
(11,4),	12.9964047906
(11,40),	12.9254912536
(11,41),	15.6310485523
(11,42),	12.8072825528
(11,43),	9.75017329218
(11,44),	12.3688396141
(11,45),	9.64685783227
(11,46),	13.1082210467
(11,47),	13.4396751657
(11,48),	16.7218507983
(11,49),	13.5029498676
(11,5),	22.6118793021
(11,6),	14.9471417694
(11,7),	17.0638734289
(11,8),	15.7441425729
(11,9),	14.5460899883
(12,0),	23.5139336764
(12,1),	21.0388140702
(12,10),	14.2332879524
(12,11),	12.1498286585
(12,12),	9.41457308011
(12,13),	13.3098017195
(12,14),	10.9216648631
(12,15),	9.44563815798
(12,16),	8.82677838684
(12,17),	11.5594776999
(12,18),	12.2038838155
(12,19),	14.0370716394
(12,2),	22.1274856549
(12,20),	12.3675597219
(12,21),	15.208260875
(12,22),	13.1049858528
(12,23),	8.3587014161
(12,24),	10.2060135705
(12,25),	8.8391215188
(12,26),	10.0523582725
(12,27),	9.81701862053
(12,28),	13.7028724355
(12,29),	11.3081947473
(12,3),	21.9226388096
(12,30),	15.8984034739
(12,31),	14.0609622745
(12,32),	13.2387123635
(12,33),	13.8731187395
(12,34),	8.98046535977
(12,35),	11.2231822049
(12,36),	10.0304267736
(12,37),	8.475538429
(12,38),	10.4330974263
(12,39),	11.7637724893
(12,4),	19.7019884879
(12,40),	16.070181556
(12,41),	13.7380110424
(12,42),	14.1494490046
(12,43),	16.175929054
(12,44),	13.1532994046
(12,45),	8.82756927334
(12,46),	11.9840971121
(12,47),	10.4555192196
(12,48),	13.8382465522
(12,49),	12.9901570941
(12,5),	18.0117868587
(12,6),	18.6214006378
(12,7),	16.5843026918
(12,8),	15.0404678945
(12,9),	15.8729831466
(13,0),	23.9455575106
(13,1),	21.0896925968
(13,10),	16.5925518328
(13,11),	16.3313395762
(13,12),	16.8931327796
(13,13),	15.6594744105
(13,14),	9.97888807367
(13,15),	12.5624788664
(13,16),	10.3800716262
(13,17),	11.1452882086
(13,18),	11.7471307913
(13,19),	15.7530030407
(13,2),	20.3593382572
(13,20),	16.2577392343
(13,21),	13.2265928437
(13,22),	16.8929602449
(13,23),	12.9007960337
(13,24),	13.2649918752
(13,25),	12.6074508451
(13,26),	12.9998880574
